time_offset, x, y, speed
1.000000,508437.005977,431956.417931,-0.019265
2.000000,508437.008576,431956.191780,0.061127
3.000000,508437.343625,431955.511634,-0.082756
4.000000,508437.555535,431954.644227,-0.077704
5.000000,508437.687623,431954.319072,0.154594
6.000000,508437.777814,431954.206380,0.152658
7.000000,508437.856535,431953.534279,-0.120775
8.000000,508437.889812,431953.810959,0.172958
9.000000,508437.931535,431953.385439,-0.027301
10.000000,508437.956504,431953.170239,0.013947
11.000000,508437.971043,431953.092687,0.062818
12.000000,508437.966164,431953.678533,0.313614
13.000000,508437.984698,431953.384524,0.095768
14.000000,508438.266393,431953.196744,0.075827
15.000000,508438.428917,431954.885886,0.604602
16.000000,508437.962230,431958.683450,1.317928
17.000000,508437.986895,431958.581651,0.187007
18.000000,508438.331629,431955.895151,-0.767749
19.000000,508439.190400,431949.816682,-1.947045
20.000000,508440.026725,431945.906195,-1.381425
21.000000,508440.603242,431943.268405,-0.917360
22.000000,508441.569962,431940.491665,-0.942762
23.000000,508442.549949,431937.576994,-0.987403
24.000000,508442.642225,431938.210202,0.140800
25.000000,508442.719266,431938.715415,0.211261
26.000000,508443.365611,431937.207753,-0.163607
27.000000,508444.286753,431936.225939,1.009555
28.000000,508446.644920,431936.742047,3.054997
29.000000,508451.093485,431937.596619,4.649948
30.000000,508457.320995,431938.095345,5.480454
31.000000,508463.518405,431937.908739,5.539563
32.000000,508469.497768,431938.053746,5.644679
33.000000,508480.431581,431925.967114,7.194323
34.000000,508492.022427,431915.612079,7.785988
35.000000,508500.628325,431906.983005,6.825645
36.000000,508507.726474,431900.572071,5.919861
37.000000,508511.459286,431897.180220,4.032508
38.000000,508512.940073,431898.375252,3.106056
39.000000,508512.662539,431901.211468,3.180784
40.000000,508512.100677,431905.857138,4.720236
41.000000,508510.862536,431912.247152,5.974162
42.000000,508509.556948,431921.747304,8.057360
43.000000,508508.288078,431933.504910,9.465067
44.000000,508506.995057,431948.805048,11.974381
45.000000,508504.720532,431962.915016,11.837220
46.000000,508501.492239,431975.992595,12.004953
47.000000,508497.451877,431991.767612,13.762758
48.000000,508493.391433,432006.946800,13.972356
49.000000,508489.271796,432020.905587,13.608660
50.000000,508485.611038,432032.924173,12.655452
51.000000,508482.475623,432045.217152,12.570913
52.000000,508479.335676,432057.947622,12.851759
53.000000,508476.348940,432071.548594,13.663702
54.000000,508473.822901,432082.439438,12.466111
55.000000,508471.239238,432094.363684,12.663903
56.000000,508469.029094,432106.364741,12.615975
57.000000,508466.689533,432118.420638,12.613646
58.000000,508464.524229,432130.412407,12.532497
59.000000,508462.700891,432144.776732,13.501529
60.000000,508460.947921,432159.182859,13.638836
61.000000,508459.775242,432175.804270,14.718596
62.000000,508458.573806,432189.381356,13.825463
63.000000,508458.261215,432202.955383,13.708486
64.000000,508457.350063,432218.050749,14.363305
65.000000,508455.969663,432233.293530,14.610900
66.000000,508453.502190,432248.529216,14.767666
67.000000,508449.935439,432262.537903,14.477246
68.000000,508446.443473,432276.467466,14.443378
69.000000,508442.827185,432292.817194,15.386833
70.000000,508438.647916,432307.435225,14.934668
71.000000,508433.280108,432321.699806,14.856825
72.000000,508427.953041,432333.386313,13.991035
73.000000,508422.921566,432345.564188,14.017205
74.000000,508417.891645,432357.046823,13.729474
75.000000,508413.188981,432368.084893,13.454068
76.000000,508408.490143,432377.894615,12.976402
77.000000,508403.728827,432387.157000,12.741662
78.000000,508397.026419,432403.297506,15.432204
79.000000,508391.568644,432416.876851,14.737994
80.000000,508386.712053,432425.982122,12.834095
81.000000,508382.163702,432435.061415,12.499054
82.000000,508378.753871,432445.404902,12.611366
83.000000,508376.180393,432454.289371,11.826489
84.000000,508374.418032,432464.715910,11.885764
85.000000,508373.202548,432474.922230,11.749810
86.000000,508371.729858,432487.420777,12.488567
87.000000,508369.837987,432499.305734,12.390138
88.000000,508367.970249,432511.849088,12.600641
89.000000,508366.380585,432525.311062,13.063560
90.000000,508364.447733,432536.892064,12.496567
91.000000,508362.834971,432548.540220,12.407231
92.000000,508361.438112,432562.168550,13.107771
93.000000,508359.865889,432575.022438,12.965195
94.000000,508358.209683,432587.360219,12.788494
95.000000,508355.956373,432600.712376,13.231937
96.000000,508354.650485,432612.075960,12.492199
97.000000,508353.253994,432623.061703,12.164446
98.000000,508352.893487,432633.906932,11.989822
