time_offset, x, y, speed
1.000000,502853.003317,457220.992066,0.036546
2.000000,502852.929537,457221.649859,-0.039013
3.000000,502852.934827,457221.876721,0.005506
4.000000,502852.877911,457222.591704,0.017131
5.000000,502852.508936,457222.231447,0.322256
6.000000,502852.308578,457222.045217,0.240553
7.000000,502852.275088,457221.318662,0.319339
8.000000,502852.193948,457221.068514,0.171833
9.000000,502852.118846,457221.002775,0.104552
10.000000,502852.598759,457220.842635,0.475537
11.000000,502852.818804,457220.839475,0.065146
12.000000,502852.927216,457220.859369,0.389575
13.000000,502851.743661,457222.151300,0.819831
14.000000,502850.157192,457222.354286,1.378862
15.000000,502847.976226,457222.866911,1.975111
16.000000,502845.403239,457223.779690,2.681889
17.000000,502841.441166,457225.494255,3.753133
18.000000,502837.812383,457228.300205,4.106598
19.000000,502833.936610,457231.093052,4.112142
20.000000,502830.599078,457234.802411,4.453812
21.000000,502827.577230,457238.421501,4.722103
22.000000,502824.842306,457241.153265,3.999823
23.000000,502821.422279,457243.544557,4.530599
24.000000,502818.028974,457246.919510,4.721688
25.000000,502815.492152,457250.608802,4.486499
26.000000,502813.395865,457254.498242,4.285864
27.000000,502811.563472,457257.885075,4.101153
28.000000,502809.625074,457261.650527,4.023503
29.000000,502807.805493,457264.911909,3.620788
30.000000,502805.980217,457267.991218,3.571666
31.000000,502804.543272,457271.576542,3.544576
32.000000,502802.862806,457274.858546,3.606642
33.000000,502801.641694,457277.896925,3.298340
34.000000,502799.538010,457280.290655,2.964855
35.000000,502797.974150,457282.952693,3.100680
36.000000,502796.249497,457285.260736,3.054318
37.000000,502794.969716,457287.999629,3.044813
38.000000,502793.484326,457290.139595,1.833553
39.000000,502794.034692,457293.562753,3.809774
40.000000,502796.486254,457297.155484,4.200617
41.000000,502799.849358,457300.442143,4.462244
42.000000,502804.011193,457303.437912,4.446580
43.000000,502808.257566,457305.635286,4.430423
44.000000,502812.621702,457308.150608,4.680072
45.000000,502816.843721,457310.251280,4.732502
46.000000,502821.104268,457312.654527,4.707574
47.000000,502825.892277,457314.752473,4.862257
48.000000,502830.841425,457316.622045,4.525930
49.000000,502835.782257,457317.848966,4.561949
50.000000,502840.096657,457318.003282,5.273362
51.000000,502845.015176,457319.174869,5.107993
52.000000,502850.081199,457321.348929,5.429794
53.000000,502854.405108,457323.581663,5.298914
54.000000,502859.196118,457326.373302,5.493310
55.000000,502863.993589,457328.767383,4.872134
56.000000,502868.239470,457331.414250,4.959826
57.000000,502872.273122,457333.775125,5.003102
58.000000,502877.002842,457336.603286,5.249885
59.000000,502881.961180,457339.622510,5.458130
60.000000,502886.284397,457342.575260,5.200234
61.000000,502890.349148,457345.574192,5.250577
62.000000,502895.084737,457349.327283,5.579401
63.000000,502899.337242,457353.278711,5.432659
64.000000,502902.630453,457357.278870,5.029096
65.000000,502905.624663,457361.350858,5.079545
66.000000,502908.652037,457366.122578,5.333477
67.000000,502911.629721,457371.174586,5.398286
68.000000,502915.005767,457375.749586,5.198612
69.000000,502917.394706,457379.839561,4.743103
70.000000,502919.544078,457384.511553,5.021492
71.000000,502921.611742,457389.513349,5.297976
72.000000,502924.193731,457394.684262,5.506157
73.000000,502927.059780,457399.803414,5.642529
74.000000,502930.116865,457404.824755,5.739559
75.000000,502933.711321,457409.223556,5.710243
76.000000,502937.671034,457414.025612,5.994735
77.000000,502941.162859,457418.877469,5.983035
78.000000,502944.953974,457423.871220,6.027315
79.000000,502948.166274,457428.132602,5.575915
80.000000,502951.322044,457432.751768,5.611783
81.000000,502954.884021,457437.046158,5.432494
82.000000,502957.458511,457440.913881,4.817739
83.000000,502960.237222,457444.874269,5.049334
84.000000,502963.824551,457449.674236,5.387587
85.000000,502967.013463,457453.935822,5.120626
86.000000,502969.475135,457457.850068,4.845757
87.000000,502972.054329,457461.197308,4.459803
88.000000,502974.232543,457464.185767,4.192900
89.000000,502976.827319,457467.150316,3.786304
90.000000,502979.037413,457469.992858,3.529914
91.000000,502979.913095,457473.410031,3.384128
92.000000,502979.621561,457477.898062,3.631063
93.000000,502979.180477,457482.411280,3.944061
94.000000,502978.124562,457486.769782,4.152883
95.000000,502976.266237,457491.705413,4.503452
96.000000,502974.011523,457496.115539,4.754138
97.000000,502970.539617,457501.124078,5.499562
98.000000,502967.032919,457505.497639,5.576928
99.000000,502963.629523,457509.492614,5.318956
100.000000,502960.280237,457514.058620,5.560741
101.000000,502957.022128,457518.892627,5.678171
102.000000,502953.880967,457523.845839,5.800304
103.000000,502950.817391,457528.816614,5.685526
104.000000,502947.797990,457533.750001,5.506100
105.000000,502944.901786,457538.023254,5.176265
106.000000,502941.888242,457542.726559,5.314305
107.000000,502938.892173,457547.682224,5.413986
108.000000,502936.619939,457551.975103,5.095630
109.000000,502934.462799,457556.678619,5.228178
110.000000,502931.236090,457561.811783,5.683668
111.000000,502928.084522,457566.903495,5.770455
112.000000,502925.002323,457571.922764,5.746271
113.000000,502921.969875,457576.919425,5.740534
114.000000,502918.949895,457581.928635,5.823948
115.000000,502915.945641,457586.954569,5.858994
116.000000,502912.941516,457591.937704,5.711987
117.000000,502909.888924,457596.856213,5.619868
118.000000,502906.377732,457601.213077,5.433600
119.000000,502903.086209,457605.885163,5.410795
120.000000,502899.883205,457610.719917,5.508669
121.000000,502896.783867,457615.722809,5.809146
122.000000,502893.757035,457620.790439,5.842516
123.000000,502890.753937,457625.819605,5.822156
124.000000,502887.214564,457630.932668,5.889379
125.000000,502884.554369,457635.829138,5.685351
126.000000,502881.145778,457640.913939,5.916252
127.000000,502877.908171,457645.899481,5.852541
128.000000,502874.271975,457650.974740,5.914816
129.000000,502871.012978,457655.951436,5.808615
130.000000,502867.897371,457660.914532,5.860061
131.000000,502864.408975,457665.365711,5.778504
132.000000,502861.127419,457670.110957,5.865258
133.000000,502857.878871,457675.665472,6.086971
134.000000,502854.828761,457680.884639,5.998629
135.000000,502851.303457,457686.067153,6.097171
136.000000,502848.061194,457691.077629,6.002027
137.000000,502844.853718,457696.679997,6.090287
138.000000,502841.807580,457701.878414,5.977951
139.000000,502838.287950,457707.044734,6.039379
140.000000,502835.050698,457712.042859,5.934249
141.000000,502831.956551,457716.997357,5.859819
142.000000,502828.841036,457722.639299,6.077339
143.000000,502825.848039,457727.879603,5.920178
144.000000,502822.903574,457732.950754,5.862676
145.000000,502819.949072,457737.948519,5.704020
146.000000,502816.425023,457743.056394,5.956436
147.000000,502813.138587,457748.040273,5.841445
148.000000,502809.950836,457752.967271,5.898570
149.000000,502806.299818,457758.031653,6.004127
150.000000,502803.034475,457763.013099,5.898562
151.000000,502799.958512,457767.972857,5.795756
152.000000,502796.968808,457772.942174,5.689630
153.000000,502793.980785,457777.920392,5.694574
154.000000,502790.981418,457782.875786,5.515307
155.000000,502788.102677,457787.162508,5.202161
156.000000,502785.737910,457791.051422,4.727666
157.000000,502783.179146,457794.333410,4.377806
158.000000,502780.863219,457797.913625,4.196941
159.000000,502778.270930,457801.177818,4.115198
160.000000,502776.043734,457804.194337,3.976474
161.000000,502773.981044,457807.122911,3.698516
162.000000,502771.982566,457810.011526,3.443906
163.000000,502770.139106,457812.285513,3.094996
164.000000,502768.149066,457814.973287,3.150591
165.000000,502766.787227,457817.072750,2.668975
166.000000,502766.396260,457818.182997,1.783710
167.000000,502765.819465,457819.115392,1.296795
168.000000,502765.791920,457819.219393,0.264041
169.000000,502765.899728,457819.101919,0.047128
170.000000,502765.416013,457819.148490,0.092310
171.000000,502765.190657,457819.124947,0.107532
172.000000,502765.089169,457819.084612,0.036465
173.000000,502765.037401,457819.059625,0.102715
174.000000,502765.010017,457819.046122,0.058575
175.000000,502765.544522,457818.916838,-0.041441
176.000000,502765.665587,457819.545601,0.173592
177.000000,502765.775883,457819.818435,0.085853
178.000000,502765.865449,457819.921911,0.054010
179.000000,502765.922938,457819.964026,0.028492
180.000000,502765.953407,457819.987264,0.054424
181.000000,502765.970046,457819.998991,0.030254
182.000000,502765.978528,457820.006717,0.059210
183.000000,502765.980537,457820.014193,0.060178
184.000000,502766.094379,457819.396195,-0.045783
185.000000,502766.082920,457819.166826,0.060238
186.000000,502766.589232,457818.973968,-0.028890
187.000000,502766.258391,457819.067093,0.160282
188.000000,502765.966892,457819.740854,0.453515
189.000000,502765.899720,457819.976717,0.205909
190.000000,502766.042175,457819.387288,-0.066053
191.000000,502766.065196,457819.147408,0.003319
192.000000,502766.042184,457819.067978,0.034451
193.000000,502766.556695,457818.935360,0.025684
194.000000,502766.758850,457818.969219,0.270529
195.000000,502767.374529,457818.926198,0.234968
196.000000,502767.665134,457818.958353,0.170814
197.000000,502767.804812,457818.999257,0.215831
198.000000,502767.876763,457819.024617,0.144310
199.000000,502767.915524,457819.038127,0.179602
200.000000,502767.911267,457819.080968,0.386178
201.000000,502767.926859,457819.078556,0.078277
202.000000,502767.948367,457819.058824,0.195805
203.000000,502767.944885,457819.069679,0.212632
204.000000,502767.922927,457819.103721,0.409534
205.000000,502767.319503,457819.265219,0.676541
206.000000,502767.050481,457819.252424,0.373429
207.000000,502766.221042,457819.912978,0.798564
208.000000,502765.892761,457820.079739,0.514629
209.000000,502765.849062,457820.080036,0.301261
210.000000,502765.899637,457820.046100,0.070926
211.000000,502765.933467,457820.029020,0.163927
212.000000,502765.946923,457820.023506,0.073824
213.000000,502766.618769,457819.911167,-0.100358
214.000000,502766.214769,457820.015155,0.137356
215.000000,502766.043760,457820.046000,0.136748
216.000000,502765.981192,457820.046899,0.151410
217.000000,502765.939168,457820.051937,0.260955
218.000000,502765.917117,457820.054316,0.214030
219.000000,502765.924974,457820.045203,0.151819
220.000000,502765.916437,457820.047157,0.273034
221.000000,502765.900829,457820.054168,0.252884
222.000000,502765.899219,457820.054088,0.247283
223.000000,502765.891755,457820.057760,0.297970
224.000000,502765.885394,457820.060639,0.278994
225.000000,502766.545891,457819.955026,0.088568
226.000000,502766.103196,457820.071553,0.538061
227.000000,502765.921323,457820.096581,0.320214
228.000000,502765.911391,457820.069627,0.166559
229.000000,502765.935380,457820.043932,0.111614
230.000000,502765.955236,457820.027143,0.078469
231.000000,502765.966163,457820.018532,0.072594
232.000000,502765.970694,457820.014462,0.070454
233.000000,502765.965297,457820.015515,0.114771
234.000000,502765.947976,457820.022645,0.174112
235.000000,502765.943976,457820.024245,0.110799
236.000000,502765.961344,457820.016555,0.045729
237.000000,502765.963977,457820.015092,0.122002
238.000000,502765.951081,457820.020787,0.143354
239.000000,502765.955673,457820.018576,0.068795
240.000000,502765.941689,457820.024629,0.230191
241.000000,502765.939162,457820.026128,0.081377
242.000000,502765.959693,457820.017027,0.071457
243.000000,502765.972802,457820.011394,0.041782
